Date,Open,High,Low,Close,Adj Close,Volume
2017-03-08,29.294065,29.542910,29.094988,29.360001,29.224388,3356500
2017-03-09,29.214434,29.572771,29.035265,29.280001,29.144758,5093100
2017-03-10,29.304018,29.483189,28.945681,29.190001,29.055174,3422400
2017-03-13,29.045219,29.174618,28.666973,28.950001,28.816282,4638100
2017-03-14,28.836189,28.836189,28.298683,28.860001,28.726698,3780200
2017-03-15,28.726698,28.935726,28.487806,28.889999,28.756557,3834700
2017-03-16,28.746605,29.443371,28.746605,29.469999,29.333879,4213100
2017-03-17,29.333879,29.433418,29.035265,29.530001,29.393602,5433400
2017-03-20,29.732033,30.030647,29.463280,29.850000,29.712126,5053000
2017-03-21,29.732033,29.811663,29.383650,29.830000,29.692217,3704500
2017-03-22,29.682262,29.861431,29.523003,29.920000,29.781801,2480800
2017-03-23,29.403557,29.761892,29.035265,29.200001,29.065128,5106400
2017-03-24,28.915819,29.124849,28.756557,28.930000,28.796373,4039100
2017-03-27,28.577389,28.766512,28.308638,28.530001,28.398222,3550900
2017-03-28,28.447990,28.557484,28.248913,28.600000,28.467899,2863600
2017-03-29,28.457945,29.005404,28.368361,29.139999,29.005404,4380100
2017-03-30,28.846142,29.134804,28.816282,29.270000,29.134804,3397000
2017-03-31,29.114897,29.741985,29.055174,29.719999,29.582724,5730400
2017-04-03,29.562819,29.702171,29.353786,29.760000,29.622541,5383600
2017-04-04,29.493139,30.170000,29.463280,30.309999,30.170000,6731700
2017-04-05,30.129999,30.570000,30.100000,30.250000,30.250000,9917000
2017-04-06,30.240000,31.040001,30.230000,30.809999,30.809999,8584800
2017-04-07,30.820000,31.580000,30.700001,31.070000,31.070000,6564600
2017-04-10,31.080000,34.660000,31.020000,34.169998,34.169998,27294500
2017-04-11,34.240002,34.380001,33.020000,33.549999,33.549999,16677100
2017-04-12,33.869999,34.349998,33.650002,34.119999,34.119999,11449100
2017-04-13,34.160000,34.349998,33.900002,33.959999,33.959999,5096200
2017-04-17,33.950001,34.599998,33.889999,34.520000,34.520000,5009300
2017-04-18,34.480000,35.000000,34.220001,34.820000,34.820000,6975200
2017-04-19,34.810001,35.040001,34.599998,34.910000,34.910000,5387600
2017-04-20,35.099998,35.919998,35.009998,35.500000,35.500000,5834900
2017-04-21,35.529999,35.880001,35.439999,35.709999,35.709999,3974300
2017-04-24,35.900002,37.330002,35.570000,36.459999,36.459999,16297400
2017-04-25,36.570000,36.630001,35.660000,36.060001,36.060001,8002200
2017-04-26,36.139999,36.700001,36.040001,36.349998,36.349998,4862400
2017-04-27,36.389999,37.250000,36.240002,36.900002,36.900002,5245200
2017-04-28,37.000000,37.000000,36.259998,36.369999,36.369999,3021600
2017-05-01,36.340000,36.669998,36.070000,36.160000,36.160000,3992500
2017-05-02,36.279999,36.490002,35.910000,36.380001,36.380001,3328400
2017-05-03,36.290001,36.619999,36.230000,36.320000,36.320000,2767400
2017-05-04,36.490002,36.720001,36.169998,36.680000,36.680000,5379500
2017-05-05,36.639999,36.880001,36.410000,36.869999,36.869999,4561100
2017-05-08,36.849998,36.849998,36.490002,36.709999,36.709999,5005000
2017-05-09,36.740002,36.950001,36.439999,36.570000,36.570000,5331500
2017-05-10,36.410000,37.000000,36.080002,36.250000,36.250000,10722600
2017-05-11,37.939999,38.290001,36.580002,37.029999,37.029999,10907600
2017-05-12,37.040001,37.040001,35.970001,36.279999,36.279999,6723300
2017-05-15,35.939999,36.610001,35.919998,36.439999,36.439999,4874800
2017-05-16,36.570000,36.740002,36.200001,36.490002,36.490002,4068600
2017-05-17,36.310001,36.500000,36.009998,36.040001,36.040001,3409700
2017-05-18,36.180000,36.450001,35.930000,36.150002,36.150002,4146200
2017-05-19,36.230000,36.320000,35.840000,35.990002,35.990002,3381400
2017-05-22,36.080002,36.450001,35.919998,36.220001,36.220001,3464600
2017-05-23,36.169998,36.169998,35.220001,35.330002,35.330002,6764400
2017-05-24,35.500000,35.549999,35.139999,35.320000,35.320000,3087300
2017-05-25,35.459999,35.610001,35.259998,35.320000,35.320000,3564100
2017-05-26,35.290001,35.549999,35.029999,35.119999,35.119999,2529700
2017-05-30,35.000000,35.040001,34.639999,34.869999,34.869999,4563800
2017-05-31,34.919998,35.220001,34.779999,34.990002,34.990002,3456600
2017-06-01,35.060001,35.310001,34.779999,35.209999,35.209999,3828900
2017-06-02,35.119999,35.380001,34.950001,35.080002,35.080002,2423500
2017-06-05,35.049999,35.259998,34.700001,35.130001,35.130001,2444300
2017-06-06,34.919998,35.060001,34.709999,34.730000,34.730000,2359300
2017-06-07,34.770000,34.990002,34.610001,34.919998,34.919998,2289800
2017-06-08,34.900002,35.830002,34.889999,35.439999,35.439999,2658000
2017-06-09,35.439999,35.889999,35.250000,35.730000,35.730000,2447600
2017-06-12,35.689999,35.970001,35.299999,35.320000,35.320000,3698200
2017-06-13,35.240002,35.759998,35.070000,35.619999,35.619999,2568500
2017-06-14,35.610001,35.630001,35.200001,35.450001,35.450001,1484900
2017-06-15,34.849998,34.970001,32.970001,33.060001,33.060001,8477800
2017-06-16,42.180000,43.450001,41.750000,42.680000,42.680000,128585000
